id,Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Gender,Age
60,EPX,Travel Agency,Online,Cancellation Plan,No,1,INDIA,10,0,M,36
61,EPX,Travel Agency,Online,Cancellation Plan,No,15,MYANMAR,16,0,M,36
62,EPX,Travel Agency,Online,Cancellation Plan,No,16,JAPAN,28,0,M,65
63,EPX,Travel Agency,Online,Cancellation Plan,No,180,PHILIPPINES,21,0,F,36
64,EPX,Travel Agency,Online,Cancellation Plan,No,90,HONG KONG,37,0,M,36
65,EPX,Travel Agency,Online,Cancellation Plan,No,91,PHILIPPINES,18,0,M,36
66,EPX,Travel Agency,Online,Cancellation Plan,No,2,SINGAPORE,14,0,F,31
67,EPX,Travel Agency,Online,Cancellation Plan,No,17,THAILAND,19,0,F,36
68,EPX,Travel Agency,Online,Cancellation Plan,No,10,PHILIPPINES,37,0,F,36
69,EPX,Travel Agency,Online,Cancellation Plan,No,11,THAILAND,10,0,F,64
70,EPX,Travel Agency,Online,Cancellation Plan,No,279,NAMIBIA,80,0,M,36
71,EPX,Travel Agency,Online,Cancellation Plan,No,36,"TAIWAN, PROVINCE OF CHINA",16,0,F,20
72,EPX,Travel Agency,Online,Cancellation Plan,No,12,UNITED STATES,39,0,M,32
73,EPX,Travel Agency,Online,Cancellation Plan,No,18,VIET NAM,14,0,F,36
74,EPX,Travel Agency,Online,Cancellation Plan,No,6,INDIA,25,0,M,43
75,EPX,Travel Agency,Online,Cancellation Plan,No,2,MALAYSIA,10,0,F,35
76,EPX,Travel Agency,Online,Cancellation Plan,No,18,THAILAND,10,0,M,36
77,EPX,Travel Agency,Online,Cancellation Plan,No,2,HONG KONG,10,0,M,36
78,EPX,Travel Agency,Online,Cancellation Plan,No,39,SINGAPORE,68,0,M,36
79,EPX,Travel Agency,Online,Cancellation Plan,No,4,UNITED STATES,17,0,M,35
80,EPX,Travel Agency,Online,Cancellation Plan,No,38,"KOREA, REPUBLIC OF",0,0,F,36
81,EPX,Travel Agency,Online,Cancellation Plan,No,10,"KOREA, REPUBLIC OF",23,0,M,36
82,EPX,Travel Agency,Online,Cancellation Plan,No,92,NEW ZEALAND,80,0,M,36
83,EPX,Travel Agency,Online,Cancellation Plan,No,22,COSTA RICA,80,0,M,24
84,EPX,Travel Agency,Online,Cancellation Plan,No,10,THAILAND,10,0,F,30
85,EPX,Travel Agency,Online,Cancellation Plan,No,64,MALAYSIA,10,0,M,61
86,EPX,Travel Agency,Online,Cancellation Plan,No,7,MALAYSIA,15,0,M,36
87,EPX,Travel Agency,Online,Cancellation Plan,No,8,VIET NAM,0,0,F,36
88,EPX,Travel Agency,Online,Cancellation Plan,No,37,THAILAND,30,0,F,43
89,EPX,Travel Agency,Online,Cancellation Plan,No,2,"KOREA, REPUBLIC OF",16,0,M,36
90,EPX,Travel Agency,Online,Cancellation Plan,No,31,"KOREA, REPUBLIC OF",58,0,F,29
91,EPX,Travel Agency,Online,Cancellation Plan,No,41,JAPAN,20,0,F,40
92,EPX,Travel Agency,Online,Cancellation Plan,No,6,MALAYSIA,10,0,M,29
93,EPX,Travel Agency,Online,Cancellation Plan,No,8,INDONESIA,17,0,M,43
94,EPX,Travel Agency,Online,Cancellation Plan,No,5,INDONESIA,37,0,M,21
95,EPX,Travel Agency,Online,Cancellation Plan,No,126,CHINA,27,0,M,36
96,EPX,Travel Agency,Online,Cancellation Plan,No,10,MYANMAR,51,0,M,36
97,EPX,Travel Agency,Online,Cancellation Plan,No,29,PHILIPPINES,13,0,M,21
98,EPX,Travel Agency,Online,1 way Comprehensive Plan,No,50,AUSTRALIA,24,0,F,36
99,EPX,Travel Agency,Online,1 way Comprehensive Plan,No,1,VIET NAM,20,0,F,36
100,EPX,Travel Agency,Online,1 way Comprehensive Plan,No,2,CHINA,26,0,F,36
101,EPX,Travel Agency,Online,1 way Comprehensive Plan,No,1,SINGAPORE,86,0,F,36
102,EPX,Travel Agency,Online,1 way Comprehensive Plan,No,8,NEW ZEALAND,28,0,M,36
103,EPX,Travel Agency,Online,1 way Comprehensive Plan,No,19,MALAYSIA,20,0,F,62
104,EPX,Travel Agency,Online,1 way Comprehensive Plan,No,24,"KOREA, REPUBLIC OF",90,0,F,36
105,JWT,Airlines,Online,Value Plan,No,11,INDIA,50,20,M,118
106,RAB,Airlines,Online,Value Plan,No,4,BRUNEI DARUSSALAM,15,6,M,44
107,SSI,Airlines,Online,Ticket Protector,No,55,SINGAPORE,21.35,5.98,F,48
